Nom Produit,Marque,Vision Direct
1-Day Acuvue Moist,Acuvue,"<a href=""https://www.visiondirect.fr/1-day-acuvue-moist"" rel=""noopener noreferrer"" target=""_blank"">18,49</a>"
1-Day Acuvue Moist Multifocal,Acuvue,"<a href=""https://www.visiondirect.fr/1-day-acuvue-moist-multifocal"" rel=""noopener noreferrer"" target=""_blank"">29,99</a>"
1-Day Acuvue Moist for Astigmatism,Acuvue,"<a href=""https://www.visiondirect.fr/1-day-acuvue-moist-for-astigmatism"" rel=""noopener noreferrer"" target=""_blank"">20,99</a>"
Biomedics 1-Day Extra,Biomedics,"<a href=""https://www.visiondirect.fr/biomedics-1-day-extra"" rel=""noopener noreferrer"" target=""_blank"">12,99</a>"
Clariti 1-Day multifocal,Clariti,"<a href=""https://www.visiondirect.fr/clariti-1-day-multifocal"" rel=""noopener noreferrer"" target=""_blank"">31,99</a>"
Dailies All Day Comfort,Dailies,"<a href=""https://www.visiondirect.fr/focus-dailies-all-day-comfort"" rel=""noopener noreferrer"" target=""_blank"">14,99</a>"
Dailies AquaComfort Plus,Dailies,"<a href=""https://www.visiondirect.fr/dailies-aquacomfort-plus"" rel=""noopener noreferrer"" target=""_blank"">16,99</a>"
Dailies AquaComfort Plus Multifocal,Dailies,"<a href=""https://www.visiondirect.fr/dailies-aquacomfort-plus-multifocal"" rel=""noopener noreferrer"" target=""_blank"">28,49</a>"
Dailies AquaComfort Plus Toric,Dailies,"<a href=""https://www.visiondirect.fr/dailies-aquacomfort-plus-toric"" rel=""noopener noreferrer"" target=""_blank"">23,99</a>"
Dailies Total 1 Multifocal,Dailies,"<a href=""https://www.visiondirect.fr/dailies-total-1-multifocal"" rel=""noopener noreferrer"" target=""_blank"">33,99</a>"
Proclear 1-Day,Proclear,"<a href=""https://www.visiondirect.fr/proclear-1-day"" rel=""noopener noreferrer"" target=""_blank"">14,99</a>"
SofLens Daily Disposable,Soflens,"<a href=""https://www.visiondirect.fr/soflens-daily-disposable"" rel=""noopener noreferrer"" target=""_blank"">12,99</a>"
